Anderson                      Hans Christian      7842 Beauvais Dr              Ingleside                     TX78362
Zellweger                     Renee               13973 Lanyard Dr              Corpus Christi                TX78418
Bond                          James               13841 Topsail                 Corpus Christi                TX78418
Day                           Doris               526 De Forrest                Corpus Christi                TX78411
Xia Yu                        Qing                426 Dolphin Pl                Corpus Christi                TX78411
Estevez                       Emilio              2122 Elizabeth St             Corpus Christi                TX78404
Van Winkle                    Rip                 3789 Sleepy Hollow Ln         Corpus Christi                TX78412
Godmother                     Fairy               611 S Alameda St              Corpus Christi                TX78401
Thumb                         Tom                 2402 Bollinger St             Corpus Christi                TX78414
Ivanhoe                       Burl                302 Saratoga Blvd             Corpus Christi                TX78411
Kappelhoff                    Doris               1937 Crestmont                Corpus Christi                TX78418
Robinson                      Edward G            426 S 9th                     Corpus Christi                TX78405
Lee                           Robert E            419 Duncan St                 Corpus Christi                TX78405
Nelson                        Horatio Lord        3009 Ocean Dr                 Corpus Christi                TX78404
Peters                        Bernadette          2018 Carolyn Dr               Corpus Christi                TX78411
Marx                          Groucho             3713 Perry Ln                 Corpus Christi                TX78410
Quintanilla                   Selena              2614 Grand Isle Cir           Corpus Christi                TX78414
Schwartz                      Bernard             1322 Peabody                  Corpus Christi                TX78407
Jones                         Indiana             333 Claremore St              Corpus Christi                TX78412
Urich                         Robert              442 Troy Dr                   Corpus Christi                TX78412
Hood                          Little Red Riding   5034 Williams Dr              Corpus Christi                TX78411
White                         Snow                13922 Primavera Dr            Corpus Christi                TX78418
Yule, Jr.                     Joe                 5026 Romford                  Corpus Christi                TX78413
Charming                      Prince              737 Everhart Rd               Corpus Christi                TX78411
O'Brien                       Pat                 103 W Ligustrum Blvd          Robstown                      TX78380
Fulks                         Sarah Jane          2608 Robert Rd                Aransas Pass                  TX78366
t                             r                   e                             e                             fg34455
